volume_liters,total_amount,hour,is_weekend,loyalty_member,customer_transaction_count,days_since_last_transaction,same_day_transactions,volume_deviation,amount_deviation,spbu_visits_count,unique_spbu_visited,is_peak_hour,is_night_transaction,bbm_type_encoded,payment_method_encoded,day_of_week_encoded,customer_type_encoded,spbu_category_encoded,spbu_province_encoded,spbu_city_encoded
24.61,305164.0,3,False,False,1,0.0,1,0.0,0.0,1,1,False,True,2,2,1,2,1,2,5
240.81,1637508.0,23,True,True,1,0.0,1,0.0,0.0,1,5,False,True,4,1,2,0,0,9,3
78.48,784794.3327915923,12,True,True,2,0.0,1,0.5084092830968712,0.35202610989755945,1,5,False,False,1,0,3,0,0,6,20
112.02,1389048.0,21,True,True,3,0.0,2,0.22083883981359123,0.09335107931361675,1,5,False,False,2,1,3,0,0,9,28
108.44,1084400.0,0,True,True,4,6.0,1,0.19636868920796666,0.11400710715436575,1,5,False,True,1,4,3,0,0,9,27
86.5,865000.0,4,False,True,5,18.0,1,0.3093812375249501,0.24922974436488818,1,5,False,True,1,1,4,0,0,1,10
39.73,552247.0,18,False,True,1,0.0,1,0.0,0.0,1,1,True,False,3,2,1,2,1,9,28
60.98,609800.0,7,False,True,1,0.0,1,0.0,0.0,1,4,True,False,1,1,6,2,2,1,10
70.99,674405.0,7,False,True,2,9.0,1,0.07585057209971957,0.050307388617860854,1,4,True,False,0,1,0,2,1,7,23
49.77,617148.0,23,False,True,3,5.0,1,0.1784417299438757,0.026249202541558624,1,4,False,True,2,4,6,2,1,6,20
29.38,364312.0,13,False,True,4,0.0,1,0.44334975369458124,0.3568122383494471,1,4,False,False,2,6,4,2,0,5,13
75.74,757400.0,23,False,False,1,0.0,1,0.0,0.0,1,3,False,True,1,1,6,2,1,2,2
56.89,540455.0,19,True,False,2,3.0,1,0.1421247078338234,0.16715657758378247,1,3,True,False,0,1,3,2,0,0,0
55.93,693532.0,23,False,False,3,9.0,1,0.1101506151887993,0.04479742008961599,1,3,False,True,2,2,5,2,1,2,1
44.76,447600.0,17,True,True,1,0.0,1,0.0,0.0,1,2,True,False,1,1,2,2,0,0,0
73.08,496944.0,8,False,True,2,1.0,1,0.240325865580448,0.05224108141071247,1,2,True,False,4,0,1,2,0,2,1
7.38,91512.0,13,False,False,1,0.0,1,0.0,0.0,1,2,False,False,2,5,0,2,1,0,0
53.67,665508.0,6,False,False,2,25.0,1,0.7582309582309582,0.7582309582309582,1,2,False,False,2,4,6,2,0,1,11
33.09,330900.00000000006,10,False,False,1,0.0,1,0.0,0.0,1,1,False,False,1,0,0,2,0,0,0
12.29,122899.99999999999,11,True,True,1,0.0,1,0.0,0.0,1,2,False,False,1,0,3,2,2,9,27
13.45,134500.0,15,False,True,2,3.0,1,0.04506604506604507,0.045066045066045064,1,2,False,False,1,2,6,2,1,1,10
